Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
C1	52063011	52063011	1132118	32134520	18796373	364966	597266	302471	634567	99.43	317283.5	298633.0	151235.5
C2	52073180	52073180	1119160	31982371	18971649	365424	544043	313061	650368	99.48	325184.0	272021.5	156530.5
C3	52028192	52028192	1173116	32150222	18704854	381762	570772	339719	672217	99.45	336108.5	285386.0	169859.5
D1	51118601	51118601	1093225	31430852	18594524	311194	630195	330101	603766	99.38	301883.0	315097.5	165050.5
D2	53294857	53294857	1255589	33008388	19030880	399304	619484	375689	717397	99.42	358698.5	309742.0	187844.5
D3	52055218	52055218	1070634	32022996	18961588	326231	614485	286644	587677	99.41	293838.5	307242.5	143322.0
DF1	51128853	51128853	913144	31117785	19097924	260549	569151	243304	492735	99.44	246367.5	284575.5	121652.0
DF2	52372489	52372489	1042730	31624142	19705617	295881	627190	292342	574166	99.4	287083.0	313595.0	146171.0
DF3	51112171	51112171	1165091	31300317	18646763	345631	647370	346564	644986	99.37	322493.0	323685.0	173282.0
F1	52067183	52067183	1031554	31758292	19277337	328559	519187	286994	599809	99.5	299904.5	259593.5	143497.0
F2	51109189	51109189	1063717	31262172	18783300	313629	597079	309582	593515	99.42	296757.5	298539.5	154791.0
F3	52374363	52374363	969228	32089476	19315659	282646	568188	270939	534037	99.46	267018.5	284094.0	135469.5
