Sample	c_carpio counts	c_carpio percentage	total_reads	T_bruceik counts	T_bruceik percentage	T_brucei427 counts	T_brucei427 percentage	LmajorFriedlin counts	LmajorFriedlin percentage	LinfantumJPCM5 counts	LinfantumJPCM5 percentage	L_donovaniLV9 counts	L_donovaniLV9 percentage	L_donovaniCLSL counts	L_donovaniCLSL percentage	S_pombe counts	S_pombe percentage	P_falciparum counts	P_falciparum percentage	P_know counts	P_know percentage	T_brucei counts	T_brucei percentage	T_cruzi counts	T_cruzi percentage	L_donovani counts	L_donovani percentage	O_sativa counts	O_sativa percentage	P_vera counts	P_vera percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Drosophila counts	Drosophila percentage	Worm counts	Worm percentage	Yeast counts	Yeast percentage	Arabidopsis counts	Arabidopsis percentage	Ecoli counts	Ecoli percentage	rRNA counts	rRNA percentage	MT counts	MT percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage	Vectors counts	Vectors percentage	Adapters counts	Adapters percentage	No hits counts	No hits percentage
C1	536	0.22	239787	81	0.04	151657	63.25	51	0.02	33	0.02	19	0.01	31	0.02	26	0.01	214	0.09	173	0.07	151657	63.25	113	0.05	25	0.02	121	0.05	303	0.13	1783	0.75	893	0.38	115	0.04	80	0.03	35	0.01	85	0.03	141	0.060000000000000005	0	0.0	0	0.0	0	0.0	0	0.0	1710	0.71	48	0.02	84860	35.39
C2	1496	0.7000000000000001	214205	47162	22.02	171382	80.0	437	0.21000000000000002	427	0.2	396	0.18	439	0.2	185	0.09000000000000001	878	0.41000000000000003	676	0.31	171382	80.0	739	0.33999999999999997	454	0.21000000000000002	704	0.32	984	0.46	3034	1.4100000000000001	2207	1.03	563	0.26	417	0.19	284	0.13	620	0.29000000000000004	110	0.05	4	0.0	20	0.01	0	0.0	1	0.0	1407	0.65	10	0.0	38942	18.18
C3	1410	0.63	223330	46860	20.98	177758	79.59	426	0.19	399	0.18000000000000002	377	0.17	420	0.19	199	0.08	817	0.37	625	0.28	177758	79.59	807	0.36	438	0.2	683	0.3	878	0.39	2437	1.1	2069	0.9199999999999999	534	0.24000000000000002	418	0.18	281	0.13	724	0.33	120	0.060000000000000005	2	0.0	21	0.01	0	0.0	1	0.0	1429	0.64	25	0.01	42254	18.92
D1	1444	0.5700000000000001	248847	52137	20.95	190318	76.47999999999999	447	0.18000000000000002	427	0.18000000000000002	417	0.17	477	0.2	208	0.08	792	0.32	635	0.25	190318	76.47999999999999	850	0.34	494	0.2	663	0.26	880	0.35	2610	1.06	2044	0.8200000000000001	522	0.21	369	0.14	250	0.1	557	0.23	120	0.04	6	0.0	29	0.02	0	0.0	0	0.0	1381	0.55	32	0.01	55244	22.2
D2	598	0.25	244007	89	0.03	173616	71.15	62	0.03	37	0.02	27	0.01	33	0.02	26	0.01	269	0.1	199	0.08	173616	71.15	113	0.05	42	0.02	123	0.04	301	0.12000000000000001	1612	0.6599999999999999	873	0.35	127	0.05	91	0.03	37	0.02	98	0.04	121	0.05	0	0.0	3	0.0	0	0.0	0	0.0	1419	0.58	34	0.01	67663	27.73
D3	1577	0.62	249789	49313	19.75	188085	75.3	493	0.19	431	0.17	420	0.17	478	0.19	220	0.09000000000000001	914	0.37	1228	0.5	188085	75.3	855	0.34	494	0.19	732	0.29000000000000004	1013	0.4	3871	1.55	2939	1.17	652	0.26	417	0.16	297	0.12	643	0.26	93	0.03	10	0.0	31	0.02	0	0.0	1	0.0	1301	0.53	4	0.0	56652	22.68
DF1	543	0.25	225973	82	0.04	143437	63.47	70	0.03	42	0.02	27	0.01	48	0.02	20	0.0	232	0.1	252	0.11	143437	63.47	112	0.05	39	0.02	142	0.06	295	0.13	2627	1.1600000000000001	1169	0.51	107	0.05	77	0.03	30	0.01	82	0.03	202	0.09	0	0.0	4	0.0	0	0.0	1	0.0	1284	0.5599999999999999	8	0.0	78661	34.81
DF2	1442	0.5700000000000001	250844	51624	20.580000000000002	171883	68.52	492	0.19	452	0.18	441	0.18	485	0.2	176	0.07	822	0.32	638	0.24000000000000002	171883	68.52	894	0.35	487	0.19	642	0.26	899	0.36	3461	1.3900000000000001	2174	0.8700000000000001	521	0.2	366	0.15000000000000002	247	0.1	604	0.24	195	0.08	9	0.0	17	0.0	0	0.0	0	0.0	1365	0.54	11	0.0	74475	29.69
DF3	610	0.24	253266	62	0.02	155081	61.24	44	0.02	38	0.01	24	0.01	31	0.02	34	0.02	292	0.12	209	0.07	155081	61.24	110	0.04	37	0.02	150	0.06	340	0.13	2485	0.97	1129	0.44999999999999996	102	0.04	77	0.03	39	0.02	104	0.04	243	0.09	0	0.0	1	0.0	0	0.0	1	0.0	1518	0.6	7	0.0	94265	37.22
F1	1354	0.6799999999999999	201313	46433	23.060000000000002	164250	81.59	447	0.22	400	0.19	422	0.21000000000000002	428	0.22	176	0.09000000000000001	826	0.41000000000000003	615	0.31	164250	81.59	812	0.4	449	0.22	641	0.31	851	0.41000000000000003	2966	1.4700000000000002	2107	1.04	541	0.27	369	0.18	275	0.14	512	0.25	99	0.05	8	0.0	28	0.02	0	0.0	0	0.0	1207	0.6000000000000001	12	0.01	33619	16.7
F2	1367	0.59	230858	50577	21.91	165373	71.64	428	0.19	423	0.18	400	0.17	445	0.19	212	0.09000000000000001	819	0.35000000000000003	599	0.26	165373	71.64	857	0.37	470	0.21	641	0.28	895	0.38999999999999996	2806	1.22	1997	0.8600000000000001	542	0.23	393	0.16999999999999998	300	0.13	533	0.24000000000000002	177	0.08	8	0.0	22	0.01	0	0.0	0	0.0	1102	0.48	7	0.0	62054	26.88
