Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
C1	52063011	49401319	357479	0	490741	0	0	0	0	0	1813472	0	0	94.88755654182198
C2	52073180	49430308	329838	0	516337	0	0	0	0	0	1796697	0	0	94.9246963600072
C3	52028192	49243572	347442	0	557060	0	0	0	0	0	1880118	0	0	94.64786322000197
D1	51118601	48189418	381348	0	527990	0	0	0	0	0	2019845	0	0	94.26982948926947
D2	53294857	50243149	375477	0	625900	0	0	0	0	0	2050331	0	0	94.27391652444062
D3	52055218	49221352	364696	0	464415	0	0	0	0	0	2004755	0	0	94.5560385512169
DF1	51128853	48697205	343178	0	372259	0	0	0	0	0	1716211	0	0	95.24407872009176
DF2	52372489	49805199	376346	0	461554	0	0	0	0	0	1729390	0	0	95.09801796893785
DF3	51112171	48442667	394104	0	550224	0	0	0	0	0	1725176	0	0	94.7771656969922
F1	52067183	49613823	317874	0	465644	0	0	0	0	0	1669842	0	0	95.28808770007781
F2	51109189	48619347	366221	0	483943	0	0	0	0	0	1639678	0	0	95.12838679557213
F3	52374363	49870568	345155	0	424049	0	0	0	0	0	1734591	0	0	95.21942634414475
