Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	Bowtie 2_mqc-generalstats-bowtie_2-overall_alignment_rate	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
C1	4.94882	1.0	10351036482.0	0.48478	99.73485969289186	4.358854772872261	99.43	0.298858	48.95274387163195	186	69.1715092472034	64.27968104993784	61.824000162676484	56.32947542909333	52.38269097407133	62	99.42640082802741	103528756.0	104126022.0	1.0699999999999998	1.7	50930893.0	94.88755654182198	49401319
C2	4.60877	1.0	10367071552.0	0.485533	99.68784887180615	3.4741170860779476	99.48	0.303265	49.02063775776374	185	69.12853884899195	64.19357410527624	61.70379067206591	56.19867708804629	52.2264496340833	62	99.47761688454594	103602317.0	104146360.0	1.04	1.71	50954020.0	94.9246963600072	49430308
C3	5.07064	1.0	10343369532.0	0.48411	99.70046853566731	4.687824839026438	99.45	0.302104	48.8841091874463	178	69.15665261887442	64.27345917037225	61.798108315508564	56.34708218274645	52.40068210051547	63	99.45147815246011	103485612.0	104056384.0	1.06	1.74	50855076.0	94.64786322000197	49243572
D1	5.0752	1.0	10176421400.0	0.482421	99.99912361436928	3.8199654301080606	99.38	0.312991	48.720166663436	175	69.23008518073023	64.30101497975161	61.86032463134	56.54397528507752	52.72817515793692	65	99.3835952200648	101607007.0	102237202.0	1.11	1.67	50025376.0	94.26982948926947	48189418
D2	5.30444	1.0	10593385942.0	0.482739	99.73434979616673	4.808280853281442	99.42	0.295957	48.750374726161645	179	69.4914090821339	64.66554173563162	62.363173515673175	57.38673370789429	53.90079983018162	74	99.41881446459271	105970230.0	106589714.0	1.0999999999999999	1.72	52039268.0	94.27391652444062	50243149
D3	4.6904	1.0	10371199452.0	0.482544	99.70908552354646	2.9389817047092603	99.41	0.311505	48.726386620408704	184	69.37112519678956	64.33225580827585	61.90411585144711	56.62693533250168	52.85883710863875	66	99.40977578847139	103495951.0	104110436.0	1.08	1.67	50984584.0	94.5560385512169	49221352
DF1	5.6356	1.0	10177655788.0	0.486387	99.99914139237445	3.7242780518063894	99.44	0.318646	49.117168708753724	179	68.93162342824075	64.08432543877085	61.57896374831419	55.92896642032504	51.81152044609066	59	99.44341505177125	101688555.0	102257706.0	1.08	1.72	50215709.0	95.24407872009176	48697205
DF2	5.3645499999999995	1.0	10412969076.0	0.487472	99.9991770556234	4.613235236836136	99.4	0.315554	49.22160018934855	176	69.01954064475684	64.20234276456038	61.742084121349215	56.19105410766183	52.144558391000615	61	99.40122188960696	104117788.0	104744978.0	1.05	1.79	51329759.0	95.09801796893785	49805199
DF3	4.9713	1.0	10174563646.0	0.48587	99.99918806690783	3.689672441930447	99.37	0.288784	49.0651010307083	182	69.56047715294329	64.76041485975291	62.45455504695734	57.37763027230828	53.72396354806836	71	99.36671639324418	101576972.0	102224342.0	1.09	1.8	49947080.0	94.7771656969922	48442667
F1	5.01355	1.0	10371725782.0	0.486602	99.73141549041587	2.9673951993475867	99.5	0.312242	49.12844357327022	190	69.11381365135925	64.26131794982497	61.816454056850226	56.34846344496966	52.406492329221	63	99.50142587894567	103615179.0	104134366.0	1.05	1.79	51035629.0	95.28808770007781	49613823
F2	4.94392	1.0	10181754194.0	0.486421	99.99917823671865	2.9184707713181686	99.42	0.315829	49.11275355807904	186	69.03698372999573	64.16582982923805	61.70035859501578	56.15175632947295	52.14385164103003	61	99.41587901150221	101621299.0	102218378.0	1.0699999999999998	1.89	50045472.0	95.12838679557213	48619347
F3	5.2038899999999995	1.0	10434221458.0	0.486175	99.9992534571141	3.0045009853411435	99.46	0.316845	49.08824755781686	183	68.98672760752612	64.139174196137	61.6942011908861	56.16406617808339	52.18812394708203	61	99.45757049111987	104180538.0	104748726.0	1.06	1.74	51405135.0	95.21942634414475	49870568
