Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
C1	Unknown Library	117692.0	51705532.0	0.0	597266.0	105188.0	15417584.0	0.0	0.298858	68438926.0
C2	Unknown Library	115633.0	51743342.0	0.0	544043.0	103143.0	15657920.0	0.0	0.303265	67201135.0
C3	Unknown Library	124112.0	51680750.0	0.0	570772.0	111249.0	15576069.0	0.0	0.302104	67469839.0
D1	Unknown Library	132501.0	50737253.0	0.0	630195.0	118655.0	15841724.0	0.0	0.312991	63270741.0
D2	Unknown Library	131470.0	52919380.0	0.0	619484.0	117890.0	15622387.0	0.0	0.295957	70950851.0
D3	Unknown Library	114907.0	51690522.0	0.0	614485.0	102620.0	16068466.0	0.0	0.311505	64830556.0
DF1	Unknown Library	117205.0	50785675.0	0.0	569151.0	104641.0	16149021.0	0.0	0.318646	61835526.0
DF2	Unknown Library	125502.0	51996143.0	0.0	627190.0	112394.0	16371209.0	0.0	0.315554	64135499.0
DF3	Unknown Library	140838.0	50718067.0	0.0	647370.0	125987.0	14603921.0	0.0	0.288784	70197139.0
F1	Unknown Library	116561.0	51749309.0	0.0	519187.0	103914.0	16124542.0	0.0	0.312242	64706043.0
F2	Unknown Library	135363.0	50742968.0	0.0	597079.0	120994.0	15986965.0	0.0	0.315829	62536860.0
F3	Unknown Library	122122.0	52029208.0	0.0	568188.0	109219.0	16449950.0	0.0	0.316845	63827419.0
